site_name,site_id,cammlr_region,longitude_epsg_4326,latitude_epsg_4326,common_name,day,month,year,season_starting,penguin_count,accuracy,count_type,vantage,reference
Jougla Point,JOUG,48.1,-63.49319999999999,-64.82699999999966,gentoo penguin,31,12,2017,2017,1089,1,nests,ground,<strong>Lynch  H. J.  </strong><i> ????a</i>. Antarctic Site Inventory. dataset.
Ketley Point,KETL,48.1,-62.763099999999994,-64.70659999999964,gentoo penguin,14,3,1986,1985,200,5,nests,ground,<strong>Poncet  S. and J. Poncet  </strong><i> 1987</i>. Censuses of penguin populations of the Antarctic Peninsula 1983-1987. British Antarctic Survey Bulletin 77:109- 129.
"Knobble Head, Bransfield Island",KNOB,48.1,-56.569399999999995,-63.16189999999945,gentoo penguin,,,1960,1960,800,4,nests,ground,<strong>Croxall  J. P. and E. D. Kirkwood  </strong><i> 1979</i>. The distribution of penguins on the Antarctic Penninulsa and islands of the Scotia Sea. British Antarctic Survey  Cambridge  United Kingdom.
Lautaro Neck,LAUT,48.1,-63.10269999999998,-64.82849999999966,gentoo penguin,13,12,2010,2010,206,1,nests,ground,<strong>Lynch  H. J.  R. Naveen  and P. Casanovas  </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data  1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.
Cape Leguillou,LEGU,48.1,-59.842999999999996,-63.542699999999506,gentoo penguin,,,1990,1990,6,1,nests,ground,<strong>Woehler  E. J.  </strong><i> 1993</i>. The distribution and abundance of Antarctic and Subantarctic penguins. Scientific Committee on Antarctic Research (SCAR)  Cambridge  United Kingdom.
Lions Rump,LION,48.1,-58.12289999999999,-62.13309999999923,gentoo penguin,,,2010,2010,3004,1,nests,ground,<strong>Korczak-Abshire  M.  M. W&#281;grzyn  P. J. Angiel  and M. Lisowska  </strong><i> 2013</i>. Pygoscelid penguins breeding distribution and population trends at Lions Rump rookery  King George Island. Polish Polar Research 34:87-99.
Llano Point,LLAN,48.1,-58.445999999999984,-62.17599999999924,gentoo penguin,16,11,2013,2013,6123,1,nests,ground,<strong>Antarctic Ecosystem Research Group  </strong><i> 2013</i>. 25 November 2013 weekly field reports: Copacabana  King George Island. Technical Report 1  National Oceanic & Atmospheric Administration  La Jolla  United States. 
Port Lockroy,LOCK,48.1,-63.48399999999998,-64.82309999999966,gentoo penguin,6,1,2018,2017,610,1,chicks,ground,<strong>Lynch  H. J.  </strong><i> ????a</i>. Antarctic Site Inventory. dataset.
Cape Lookout,LOOK,48.1,-55.204999999999984,-61.277999999999025,gentoo penguin,22,12,2015,2015,209,1,nests,ground,<strong>Lynch  H. J.  </strong><i> ????a</i>. Antarctic Site Inventory. dataset.
Loubat Point,LOUB,48.1,-63.92649999999998,-65.07759999999968,gentoo penguin,19,1,2013,2012,569,1,nests,ground,<strong>Lynch  H. J.  R. Naveen  and P. Casanovas  </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data  1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.
Madder Cliff (Joinville Island),MADD,48.1,-56.48309999999999,-63.298899999999456,gentoo penguin,1,1,2018,2017,550,1,nests,ground,<strong>Lynch  H. J.  </strong><i> ????a</i>. Antarctic Site Inventory. dataset.
Madder Cliff Island,MADI,48.1,-56.498999999999995,-63.305999999999464,gentoo penguin,1,1,2018,2017,220,4,nests,offshore vessel,<strong>Lynch  H. J.  </strong><i> ????a</i>. Antarctic Site Inventory. dataset.
Point Martin,MART,48.2,-44.718499999999985,-60.770899999998896,gentoo penguin,,,1903,1903,,,nests,ground,<strong>Croxall  J. P. and E. D. Kirkwood  </strong><i> 1979</i>. The distribution of penguins on the Antarctic Penninulsa and islands of the Scotia Sea. British Antarctic Survey  Cambridge  United Kingdom.
Mikkelsen Harbor (Trinity Island),MIKK,48.1,-60.776199999999996,-63.89639999999954,gentoo penguin,24,12,2017,2017,1153,1,nests,ground,<strong>Lynch  H. J.  </strong><i> ????a</i>. Antarctic Site Inventory. dataset.
Cape Monaco,MONA,48.1,-64.27816399999999,-64.71713799999964,gentoo penguin,5,2,1979,1978,950,1,chicks,ground,<strong>Parmalee  D. F. and C. C. Rimmer  </strong><i> 1987</i>. Revised penguin numbers and distributions for Anvers Island  Antarctica. British Antarctic Survey Bulletin 76:65-73.
Moot Point,MOOT,48.1,-64.07799999999999,-65.2061999999997,gentoo penguin,25,1,2018,2017,925,1,chicks,ground,<strong>Lynch  H. J.  </strong><i> ????a</i>. Antarctic Site Inventory. dataset.
Muckle Bluff,MUCK,48.1,-54.86,-61.156999999999,gentoo penguin,16,2,1971,1970,500,4,nests,ground,<strong>Croxall  J. P. and E. D. Kirkwood  </strong><i> 1979</i>. The distribution of penguins on the Antarctic Penninulsa and islands of the Scotia Sea. British Antarctic Survey  Cambridge  United Kingdom.
Neko Harbor (Andvord Bay),NEKO,48.1,-62.53269999999999,-64.83829999999966,gentoo penguin,26,1,2018,2017,973,1,nests,ground,<strong>Lynch  H. J.  </strong><i> ????a</i>. Antarctic Site Inventory. dataset.
Noble Rocks,NOBL,48.1,-63.433499999999995,-64.78489999999965,gentoo penguin,25,2,2018,2017,48,1,chicks,ground,<strong>Lynch  H. J.  </strong><i> ????a</i>. Antarctic Site Inventory. dataset.
North Point,NOPT,48.2,-45.62599999999998,-60.671999999998874,gentoo penguin,23,11,2015,2015,1315,1,nests,ground,<strong>Dunn  M.J.  Jackson  J.A.  Adlard  S.  Lynnes  A.S.  Briggs  D.R.  Fox  D.  C.M. Waluda. </strong><i> 2016</i>. Population size and decadal trends of three penguin species nesting at Signy island  South Orkney islands. PLoS ONE 11(10): e0164025.
O'Neill Point,ONEI,48.1,-63.090131999999976,-64.81621999999966,gentoo penguin,22,12,2013,2013,342,1,nests,ground,<strong>Lynch  H. J.  R. Naveen  and P. Casanovas  </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data  1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.
Orne Islands,ORNE,48.1,-62.67299999999999,-64.66199999999965,gentoo penguin,24,1,2018,2017,412,3,chicks,ground,<strong>Lynch  H. J.  </strong><i> ????a</i>. Antarctic Site Inventory. dataset.
Paradise Harbor Beacon (Paradise Bay),PABE,48.1,-62.93109999999999,-64.91109999999968,gentoo penguin,24,12,2006,2006,3,1,nests,ground,<strong>Lynch  H. J.  R. Naveen  and P. Casanovas  </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data  1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.
Patella Island,PATE,48.1,-55.52379999999999,-63.129399999999436,gentoo penguin,,,1960,1960,200,4,nests,ground,<strong>Croxall  J. P. and E. D. Kirkwood  </strong><i> 1979</i>. The distribution of penguins on the Antarctic Penninulsa and islands of the Scotia Sea. British Antarctic Survey  Cambridge  United Kingdom.
Port Charcot,PCHA,48.1,-64.02599999999998,-65.06699999999967,gentoo penguin,19,1,2018,2017,1484,1,nests,ground,<strong>Lynch  H. J.  </strong><i> ????a</i>. Antarctic Site Inventory. dataset.
Peine Island (Comb Island),PEIN,48.1,-54.716999999999985,-63.410999999999476,gentoo penguin,18,12,2015,2015,186,1,nests,ground,<strong>Borowicz  A.  P. McDowall  C. Youngflesh  T. Sayre-McCord  G. Clucas  R. Herman  S. Forrest  M. Rider  M. Schwaller  T. Hart  S. Jenouvrier  M. Polito  H. Singh  and H. J. Lynch  </strong><i>2018</i>. Multi-modal survey of Ad&#233;lie penguin mega-colonies reveals the Danger Islands as a seabird hotspot. Scientific Reports 8:3926.
Petermann Island,PETE,48.1,-64.13699999999999,-65.17599999999969,gentoo penguin,5,1,2018,2017,3516,1,nests,ground,<strong>Lynch  H. J.  </strong><i> ????a</i>. Antarctic Site Inventory. dataset.
Plato Island (Platter Island),PLAT,48.1,-54.67419999999998,-63.43299999999948,gentoo penguin,16,12,2015,2015,223,1,nests,ground,<strong>Borowicz  A.  P. McDowall  C. Youngflesh  T. Sayre-McCord  G. Clucas  R. Herman  S. Forrest  M. Rider  M. Schwaller  T. Hart  S. Jenouvrier  M. Polito  H. Singh  and H. J. Lynch  </strong><i>2018</i>. Multi-modal survey of Ad&#233;lie penguin mega-colonies reveals the Danger Islands as a seabird hotspot. Scientific Reports 8:3926.
Pleneau Island,PLEN,48.1,-64.05559999999998,-65.10399999999969,gentoo penguin,25,1,2018,2017,3931,1,chicks,ground,<strong>Lynch  H. J.  </strong><i> ????a</i>. Antarctic Site Inventory. dataset.
Powell Island,POWE,48.2,-45.028999999999996,-60.72499999999888,gentoo penguin,27,12,1983,1983,2599,1,nests,ground,<strong>Poncet  S. and J. Poncet  </strong><i> 1985</i>. A survey of penguin breeding populations at the South Orkey Islands. British Antarctic Survey Bulletin 68:71-81.
