site_name,site_id,cammlr_region,longitude_epsg_4326,latitude_epsg_4326,common_name,day,month,year,season_starting,penguin_count,accuracy,count_type,vantage,reference
Crown Head (east coast),CHEC,48.2,-45.25899999999999,-60.62699999999886,chinstrap penguin,31,12,1983,1983,2200,5,nests,ground,<strong>Poncet  S. and J. Poncet  </strong><i> 1985</i>. A survey of penguin breeding populations at the South Orkey Islands. British Antarctic Survey Bulletin 68:71-81.
Chinstrap Islet,CHII,88.1,163.31099999999995,-66.92499999999981,chinstrap penguin,27,2,2014,2013,84,4,adults,ground,<strong>Tidemann  S.C.  A. Walleyn  and J. F. Ryan  </strong><i> 2015</i>. Observations of penguins and other pelagic bird species in the Balleny Islands  Antarctica. Australian Field Ornithology 32:169.
Chinstrap Cove,CHIN,48.1,-54.19699999999999,-61.244999999999024,chinstrap penguin,20,1,1977,1976,20701,4,nests,ground,<strong>Croxall  J. P. and E. D. Kirkwood  </strong><i> 1979</i>. The distribution of penguins on the Antarctic Penninulsa and islands of the Scotia Sea. British Antarctic Survey  Cambridge  United Kingdom.
Cape Herschel (northeast),CHNE,48.1,-60.98599999999997,-64.04199999999958,chinstrap penguin,23,1,1987,1986,450,4,nests,ground,<strong>Poncet  S. and J. Poncet  </strong><i> 1987</i>. Censuses of penguin populations of the Antarctic Peninsula 1983-1987. British Antarctic Survey Bulletin 77:109- 129.
Charles Point,CHPT,48.1,-60.99999999999998,-64.23599999999959,chinstrap penguin,10,12,2010,2010,7,1,nests,ground,<strong>Lynch  H. J.  R. Naveen  and P. Casanovas  </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data  1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.
Cape Herschel (southeast),CHSE,48.1,-61.03299999999999,-64.07799999999958,chinstrap penguin,12,2,2011,2010,650,1,nests,ground,<strong>Gonz&#225;lez-Zevallos  D.  M. M. Santos  E. F. Rombol&#225;  M. A. Ju&#225;res  and N. R. Coria  </strong><i> 2013</i>. Abundance and breeding distribution of seabirds in the northern part of the Danco Coast  Antarctic Peninsula. Polar Research 32:1-7.
Cieslak Point,CIPT,48.1,-58.65499999999999,-62.00899999999922,chinstrap penguin,,,1980,1980,955,2,nests,ground,<strong>Jab&#322;onski  B.  </strong><i> 1984a</i>. Distribution and numbers of penguins in the region of King George Island (South Shetland Islands in the breeding season 1980/1981*). Polish Polar Research 5:17-30.
Cape Lindsey,CLIN,48.1,-55.47999999999998,-61.10699999999899,chinstrap penguin,18,1,1971,1970,710,4,nests,ground,<strong>Croxall  J. P. and E. D. Kirkwood  </strong><i> 1979</i>. The distribution of penguins on the Antarctic Penninulsa and islands of the Scotia Sea. British Antarctic Survey  Cambridge  United Kingdom.
Claude Point,CLPT,48.1,-62.617699999999985,-64.11599999999959,chinstrap penguin,7,1,1985,1984,190,1,nests,ground,<strong>Poncet  S. and J. Poncet  </strong><i> 1987</i>. Censuses of penguin populations of the Antarctic Peninsula 1983-1987. British Antarctic Survey Bulletin 77:109- 129.
Cape Melville,CMEL,48.1,-57.57999999999997,-62.021999999999224,chinstrap penguin,31,1,1987,1986,8500,4,adults,ground,<strong>Shuford  W. D. and B. Spear  </strong><i> 1988</i>. Surveys of breeding Chinstrap penguins in the South Shetland Island  Antarctica. British Antarctic Survey Bulletin 81:19-30.
Cape Murray,CMUR,48.1,-61.62059999999999,-64.3662999999996,chinstrap penguin,,1,2016,2015,0,1,nests,ground,<strong>Lynch  H. J.  </strong><i> ????a</i>. Antarctic Site Inventory. dataset.
Cobalescou Island,COBA,48.1,-61.64989999999999,-64.17949999999959,chinstrap penguin,13,12,2011,2011,457,1,nests,ground,<strong>Lynch  H. J.  R. Naveen  and P. Casanovas  </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data  1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.
