site_name,site_id,cammlr_region,longitude_epsg_4326,latitude_epsg_4326,common_name,day,month,year,season_starting,penguin_count,accuracy,count_type,vantage,reference
Darboux Island,DARX,48.1,-64.21499999999999,-65.40279999999973,ad{\'e}lie penguin,6,1,2013,2012,0,1,nests,ground,<strong>Lynch  H. J.  R. Naveen  and P. Casanovas  </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data  1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.
Davis Island,DAVI,58.4.1,108.44439999999997,-66.66369999999984,ad{\'e}lie penguin,17,2,2011,2010,8418,5,nests,vhr,<strong>Lynch  H. J. and M. A. LaRue  </strong><i> 2014</i>. First global census of the Ad&#233;lie Penguin. The Auk 131:457-466.
Dee Island,DEEI,48.1,-59.78359999999998,-62.4228999999993,ad{\'e}lie penguin,7,12,2010,2010,0,1,nests,ground,<strong>Lynch  H. J.  R. Naveen  and P. Casanovas  </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data  1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.
Cape Denison,DENI,58.4.1,142.66469999999998,-67.00719999999983,ad{\'e}lie penguin,5,2,2011,2010,13834,5,nests,vhr,<strong>Lynch  H. J. and M. A. LaRue  </strong><i> 2014</i>. First global census of the Ad&#233;lie Penguin. The Auk 131:457-466.
Descazes Island,DESC,48.1,-67.33339999999998,-67.33339999999984,ad{\'e}lie penguin,10,1,2013,2012,0,1,nests,ground,<strong>Lynch  H. J.  R. Naveen  and P. Casanovas  </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data  1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.
Detaille Island,DETA,48.1,-66.78669999999998,-66.87079999999983,ad{\'e}lie penguin,25,1,2018,2017,370,1,chicks,ground,<strong>Lynch  H. J.  </strong><i> ????a</i>. Antarctic Site Inventory. dataset.
Devil Island,DEVI,48.1,-57.28889999999998,-63.79919999999953,ad{\'e}lie penguin,21,1,2011,2010,7108,1,chicks,ground,<strong>Lynch  H. J.  R. Naveen  and P. Casanovas  </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data  1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.
Dome Island (Aviation Islands),DOME,88.1,158.78329999999994,-69.26669999999991,ad{\'e}lie penguin,,12,1985,1985,161,2,nests,aerial,<strong>Lyver  P. O.  </strong><i> ???? </i> Ad&#233;lie census data. dataset.
Douglas Islands 1,DOU1,58.4.2,63.38929999999998,-67.38029999999985,ad{\'e}lie penguin,23,11,2005,2005,50,5,nests,ground,<strong>Low  M.  L. Meyer  and C. Southwell  </strong><i> 2007</i>. Number and distribution of Ad&#233;lie penguin (<i>Pygoscelis adeliae</i>) breeding sites in the Robinson Group of islands  Mac.Robertson Land coast  east Antarctica. Polar Record 43:225-229.
Douglas Islands 2,DOU2,58.4.2,63.38949999999998,-67.38489999999986,ad{\'e}lie penguin,23,11,2005,2005,500,5,nests,ground,<strong>Low  M.  L. Meyer  and C. Southwell  </strong><i> 2007</i>. Number and distribution of Ad&#233;lie penguin (<i>Pygoscelis adeliae</i>) breeding sites in the Robinson Group of islands  Mac.Robertson Land coast  east Antarctica. Polar Record 43:225-229.
Downshire Cliffs,DOWN,88.1,170.59199999999998,-71.55819999999997,ad{\'e}lie penguin,,12,2013,2013,35640,2,nests,aerial,<strong>Lyver  P. O.  </strong><i> ???? </i> Ad&#233;lie census data. dataset.
Dream Island,DREA,48.1,-64.22559999999999,-64.72539999999964,ad{\'e}lie penguin,16,1,2008,2007,1887,5,nests,vhr,<strong>Lynch  H. J. and M. A. LaRue  </strong><i> 2014</i>. First global census of the Ad&#233;lie Penguin. The Auk 131:457-466.
Duke of York Island,DUKE,88.1,170.06349999999995,-71.62349999999996,ad{\'e}lie penguin,,12,2013,2013,8548,2,nests,aerial,<strong>Lyver  P. O.  </strong><i> ???? </i> Ad&#233;lie census data. dataset.
Duroch Islands,DURO,48.1,-57.89029999999999,-63.30329999999945,ad{\'e}lie penguin,,,1990,1990,800,4,nests,,<strong>Woehler  E. J.  </strong><i> 1993</i>. The distribution and abundance of Antarctic and Subantarctic penguins. Scientific Committee on Antarctic Research (SCAR)  Cambridge  United Kingdom.
d'Urville Monument,DURV,48.1,-56.294399999999996,-63.42669999999948,ad{\'e}lie penguin,1,1,2017,2016,18415,2,nests,ground,<strong>Lynch  H. J.  </strong><i> ????a</i>. Antarctic Site Inventory. dataset.
Duthoit Point,DUTH,48.1,-58.83499999999999,-62.306999999999285,ad{\'e}lie penguin,6,1,1994,1993,1,1,nests,ground,<strong>Coria  N. R.  M. Favero  M. P. Silva  and R. J. Casaux </strong><i> 1995a</i>. Breeding birds at Duthoit Point  Nelson Island  South Shetland Islands  Antarctica. Marine Ornithology 23:61-64.
